"","ile","czestosc"
"array",14,0.0003079834
"as.POSIXlt",14,0.0003079834
"cor.test",14,0.0003079834
"cross",14,0.0003079834
"dpois",14,0.0003079834
"dummyVars",14,0.0003079834
"emptyenv",14,0.0003079834
"expect_that",14,0.0003079834
"fread",14,0.0003079834
"genoprob_to_snpprob",14,0.0003079834
"geom_errorbar",14,0.0003079834
"geom_map",14,0.0003079834
"glimpse",14,0.0003079834
"grid.layout",14,0.0003079834
"grid.newpage",14,0.0003079834
"handshake",14,0.0003079834
"image",14,0.0003079834
"img",14,0.0003079834
"index_snps",14,0.0003079834
"lod_int",14,0.0003079834
"log2",14,0.0003079834
"map_int",14,0.0003079834
"plot_coefCC",14,0.0003079834
"plot_genes",14,0.0003079834
"pnorm",14,0.0003079834
"ppois",14,0.0003079834
"pushViewport",14,0.0003079834
"read.dta",14,0.0003079834
"Reduce",14,0.0003079834
"regmatches",14,0.0003079834
"req",14,0.0003079834
"scale_color_discrete",14,0.0003079834
"scale_fill_brewer",14,0.0003079834
"scale_fill_discrete",14,0.0003079834
"scale_fill_gradient",14,0.0003079834
"scan1",14,0.0003079834
"scan1blup",14,0.0003079834
"scan1coef",14,0.0003079834
"setClass",14,0.0003079834
"setGeneric",14,0.0003079834
"setMethod",14,0.0003079834
"show",14,0.0003079834
"shQuote",14,0.0003079834
"sin",14,0.0003079834
"standardGeneric",14,0.0003079834
"strong",14,0.0003079834
"uniroot",14,0.0003079834
"var",14,0.0003079834
"viewport",14,0.0003079834
"walk",14,0.0003079834
"as.logical",13,0.0002859846
"checkboxGroupInput",13,0.0002859846
"datatable",13,0.0002859846
"date_format",13,0.0002859846
"MySQL",13,0.0002859846
"performance",13,0.0002859846
"randomForest",13,0.0002859846
"readline",13,0.0002859846
"rel",13,0.0002859846
"renderTable",13,0.0002859846
"tableOutput",13,0.0002859846
"wday",13,0.0002859846
"as_tibble",12,0.0002639857
"bind_cols",12,0.0002639857
"browser",12,0.0002639857
"calc.genoprob",12,0.0002639857
"complete.cases",12,0.0002639857
"create.par",12,0.0002639857
"createDataPartition",12,0.0002639857
"data.matrix",12,0.0002639857
"dateRangeInput",12,0.0002639857
"difftime",12,0.0002639857
"direct.label",12,0.0002639857
"distinct",12,0.0002639857
"dlply",12,0.0002639857
"dmy",12,0.0002639857
"equals",12,0.0002639857
"fill.geno",12,0.0002639857
"Filter",12,0.0002639857
"heatmap",12,0.0002639857
"is.data.frame",12,0.0002639857
"jitter",12,0.0002639857
"join",12,0.0002639857
"makeCluster",12,0.0002639857
"map_dbl",12,0.0002639857
"meiosis",12,0.0002639857
"meiosis.sub",12,0.0002639857
"mvrnorm",12,0.0002639857
"packageVersion",12,0.0002639857
"pal",12,0.0002639857
"pmax",12,0.0002639857
"pull.geno",12,0.0002639857
"qpois",12,0.0002639857
"qtm",12,0.0002639857
"readHTMLTable",12,0.0002639857
"requireNamespace",12,0.0002639857
"rexp",12,0.0002639857
"scale_color_brewer",12,0.0002639857
"scale_colour_gradient",12,0.0002639857
"scale_fill_gradient2",12,0.0002639857
"scale_linetype",12,0.0002639857
"scale_shape_manual",12,0.0002639857
"scale_size_area",12,0.0002639857
"scale_y_discrete",12,0.0002639857
"scanone",12,0.0002639857
"set_names",12,0.0002639857
"SpatialPoints",12,0.0002639857
"stat_summary",12,0.0002639857
"str_split_fixed",12,0.0002639857
"submitButton",12,0.0002639857
"tabBox",12,0.0002639857
"tempdir",12,0.0002639857
"test_dir",12,0.0002639857
"test_that",12,0.0002639857
"textGrob",12,0.0002639857
"trainControl",12,0.0002639857
"union",12,0.0002639857
"unname",12,0.0002639857
"unzip",12,0.0002639857
"WDI",12,0.0002639857
"wilcox.test",12,0.0002639857
"xts",12,0.0002639857
"arrow",11,0.0002419869
"coord_fixed",11,0.0002419869
"counts",11,0.0002419869
"dcast",11,0.0002419869
"DESeqDataSetFromMatrix",11,0.0002419869
"globalenv",11,0.0002419869
"h5",11,0.0002419869
"html_text",11,0.0002419869
"row_number",11,0.0002419869
"scale_fill_gradientn",11,0.0002419869
"scale_linetype_manual",11,0.0002419869
"scale_size_continuous",11,0.0002419869
"span",11,0.0002419869
"useShinyjs",11,0.0002419869
"wellPanel",11,0.0002419869
"xgb.DMatrix",11,0.0002419869
"xgb.train",11,0.0002419869
"addLegend",10,0.0002199881
"addPolygons",10,0.0002199881
"alpha",10,0.0002199881
"aq_measurements",10,0.0002199881
"as.yearmon",10,0.0002199881
"calcNormFactors",10,0.0002199881
"callModule",10,0.0002199881
"capture.output",10,0.0002199881
"chisq.test",10,0.0002199881
"col2rgb",10,0.0002199881
"combn",10,0.0002199881
"commandArgs",10,0.0002199881
"degree",10,0.0002199881
"DGEList",10,0.0002199881
"digest",10,0.0002199881
"do",10,0.0002199881
"DropNA",10,0.0002199881
"eBayes",10,0.0002199881
"everything",10,0.0002199881
"expect_equal",10,0.0002199881
"export",10,0.0002199881
"file.rename",10,0.0002199881
"findCommonID",10,0.0002199881
"floor_date",10,0.0002199881
"fun",10,0.0002199881
"funs",10,0.0002199881
"geom_violin",10,0.0002199881
"getCurlHandle",10,0.0002199881
"getNodeSet",10,0.0002199881
"gg_animate",10,0.0002199881
"ggplotly",10,0.0002199881
"GRanges",10,0.0002199881
"gregexpr",10,0.0002199881
"hsv",10,0.0002199881
"html_attr",10,0.0002199881
"htmlParse",10,0.0002199881
"image_read",10,0.0002199881
"invalidateLater",10,0.0002199881
"IRanges",10,0.0002199881
"kable",10,0.0002199881
"knit",10,0.0002199881
"lmFit",10,0.0002199881
"make.names",10,0.0002199881
"mapview",10,0.0002199881
"match.call",10,0.0002199881
